star_number,max_magnitude,min_magnitude,epoch,period
1505,14.8,16.1,0.02,1.25336
1436,14.8,16.4,0.02,1.6637
1446,14.8,16.4,1.38,1.7620
1506,15.1,16.3,1.08,1.87502
1413,14.7,15.6,0.35,2.17352
1460,14.4,15.7,0.00,2.913
1422,14.7,15.9,0.6,3.501
842,14.6,16.1,2.61,4.2897
1425,14.3,15.3,2.8,4.547
1742,14.3,15.5,0.95,4.9866
1646,14.4,15.4,4.30,5.311
1649,14.3,15.2,5.05,5.323
1492,13.8,14.8,0.6,6.2926
1400,14.1,14.8,4.0,6.650
1355,14.0,14.8,4.8,7.482
1374,13.9,15.2,6.0,8.397
818,13.6,14.7,4.0,10.336
1610,13.4,14.6,11.0,11.645
1365,13.8,14.8,9.6,12.417
1351,13.5,14.4,4.0,13.08
827,13.4,14.3,11.6,13.47
822,13.0,14.6,13.0,16.75
823,12.2,14.1,2.9,31.94
824,11.4,12.8,4.0,65.8
821,11.2,12.1,97.0,127.0